pagina,sala,total_m,transporte_m,tramos_transporte,tramo_mayor_m
1,S1,116.9,20.6,4,8.8
2,S1,61.2,16.6,1,16.6
3,S1,27.2,16.4,1,16.4
4,S1,55.0,0.6,1,0.6
5,S1,59.2,19.4,3,12.4
6,S1,68.5,0.0,0,0.0
7,S1,108.2,0.0,0,0.0
8,S1,124.4,8.0,1,8.0
9,S1,87.1,2.6,1,2.6
10,S1,124.5,28.9,2,15.3
11,S1,42.1,0.0,0,0.0
12,S2,191.2,17.3,1,17.3
13,S2,182.6,60.7,6,14.7
14,S1,59.5,4.0,2,3.8
15,S1,32.6,16.9,3,6.0
16,S2,36.4,5.9,2,5.4
17,S2,87.4,44.0,5,21.2
18,S2,140.2,54.1,6,16.5
19,S2,94.0,26.2,4,14.7
20,S2,63.0,0.0,0,0.0
21,S2,75.9,26.8,3,11.9
22,S2,76.7,8.7,2,7.8
23,S2,65.3,22.5,2,22.0
24,S2,45.6,0.6,1,0.6
25,S2,62.8,27.6,2,17.7
26,S2,48.8,0.0,0,0.0
27,S2,100.7,7.7,2,5.2
28,S2,76.2,0.0,0,0.0
29,S2,108.4,18.3,2,13.0
30,S2,154.8,32.4,5,10.4
31,S2,131.5,37.2,7,14.1
32,S2,89.8,21.1,1,21.1
33,S2,73.3,26.4,2,14.9
34,S2,82.5,12.1,2,8.4
35,S2,72.7,17.9,5,6.0
36,S2,86.2,16.2,2,11.5
37,S2,87.7,3.2,1,3.2
38,S2,60.5,27.1,3,18.8
39,S2,108.4,18.3,2,13.0
40,S2,134.9,11.6,4,10.4
41,S2,42.4,9.1,1,9.1
42,S2,38.4,17.3,4,10.4
43,S2,49.2,0.0,0,0.0
44,S2,18.1,0.0,0,0.0
